,title,author,content,price,grade,genre
10,본 슈프리머시 2,"
로버트 러들럼 저/남명성 역
        ","



누군가 제이슨 본의 이름을 훔쳤다. 이제 그는 이름을 되찾아야 한다!영국과 중국이 홍콩반환협정을 체결하던 시기. 은밀히 홍콩을 방문중이던 중국 부총리가 잔인하게 살해된다. 시신 옆엔 제이슨 본의 서명이 남겨져 있다. 국민당의 부활을 꿈꾸는 세력의 소행이지만 정치적으로 민감한 시기라 섣불리 개입할 수 없는 미국 정부는 ‘가짜’ 제이슨 본을 잡기 위해 ‘진짜’ 제이슨 본을 소환하기로 한다. 그리고 조용히 살아가는 데이비드 웨브의 내면에 잠재된 제이슨 본을 일깨우려고 극단적인 조치를 취한다. 결국, 데이비드 웨브는 맨 처음 제이슨 본의 신화가 만들어진 아시아로 돌아간다. 이번엔 목숨을 지키기만 해선 안 된다. 가짜 암살자를 막아야 한다! 그러지 못하면 전세계가 끔찍한 전쟁의 소용돌이에 휘말려들 것이다…… 영화와는 다른 제이슨 본, 다른 이야기가 등장하는 진정한 출발점! 액션, 테러, 음모론이 난무하는 가운데 제이슨 본의 사투는 계속된다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","12,150",10.0,공포/스릴러
11,본 슈프리머시 1,"
로버트 러들럼 저/남명성 역
        ","



누군가 제이슨 본의 이름을 훔쳤다. 이제 그는 이름을 되찾아야 한다!영국과 중국이 홍콩반환협정을 체결하던 시기. 은밀히 홍콩을 방문중이던 중국 부총리가 잔인하게 살해된다. 시신 옆엔 제이슨 본의 서명이 남겨져 있다. 국민당의 부활을 꿈꾸는 세력의 소행이지만 정치적으로 민감한 시기라 섣불리 개입할 수 없는 미국 정부는 ‘가짜’ 제이슨 본을 잡기 위해 ‘진짜’ 제이슨 본을 소환하기로 한다. 그리고 조용히 살아가는 데이비드 웨브의 내면에 잠재된 제이슨 본을 일깨우려고 극단적인 조치를 취한다. 결국, 데이비드 웨브는 맨 처음 제이슨 본의 신화가 만들어진 아시아로 돌아간다. 이번엔 목숨을 지키기만 해선 안 된다. 가짜 암살자를 막아야 한다! 그러지 못하면 전세계가 끔찍한 전쟁의 소용돌이에 휘말려들 것이다…… 영화와는 다른 제이슨 본, 다른 이야기가 등장하는 진정한 출발점! 액션, 테러, 음모론이 난무하는 가운데 제이슨 본의 사투는 계속된다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","12,150",8.5,추리/미스터리
12,침대특급 ‘하야부사’ 1/60초의 벽,"
시마다 소지 저 / 이연승 역
        ","



《침대특급 ‘하야부사’ 1/60초의 벽》은 《기발한 발상 하늘을 움직이다》로 국내에서 많은 관심과 인기를 끌은 요시키 다케시 형사 시리즈 제1편으로 시마다 소지가 대중에게 인기를 끌은 출세작이다.  어느 날 호화맨션에서 ‘얼굴 가죽이 벗겨진 여자 사체’가 발견되는 엽기적인 사건으로 시작된다. 사건의 수사가 진행될수록 단순히 엽기적 색채가 짙은 사건에서 전대미문의 기괴한 사건으로 바뀌어간다. 피해자가 살해당해 이미 사체가 되어있었을 그 시각, 그녀는 침대특급 ‘하야부사’에 타고 있었다. 그 증거로 1/60초의 셔터 속에 담긴 그녀의 사진이 나타난다. 그녀는 과연 죽은 후에 유령이 되어 ‘하야부사’를 타고 있었던 것일까. 그리고 요시키 앞에 2번째 살인이 벌어지는데……. 시간의 벽과 완벽한 트릭! 이 완벽한 트릭을 요시키 형사는 깰 수 있을 것인가.                    


","11,700",8.4,역사
13,왕을 만든 여자 2,"
신봉승 저
        ","







* 이 묶음상품은 아래의 상품들로 구성되어 있습니다.1.  [도서] 왕을 만든 여자 1 | <신봉승> 저 | 다산책방2.  [도서] 왕을 만든 여자 2 | <신봉승> 저 | 다산책방                                    








 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","11,700",8.4,추리/미스터리
14,비숍 살인 사건,"
S.S. 밴 다인 저/최인자 역
        ","



<마더 구스의 노래>를 따라 일어나는 연쇄 살인 사건!추리소설 장르의 황금시대를 장식한 미국의 베스트셀러 작가 S. S. 밴 다인의 대표작 『비숍 살인 사건』. 세계적인 거장들의 대표 작품부터 한국의 고전 문학까지 젊고 새로운 감각으로 고전을 새롭게 선보이는 「열린책들 세계문학」 시리즈의 181번째 책이다. 탐정 '파일로 밴스'가 등장하는 작품들 중 하나인 이 소설은 <마더 구스의 노래>라는 전래 동요 가사를 따라 일어나는 연쇄 살인 사건을 그리고 있다. 범인은 우연히 힌트를 얻어 <마더 구스의 노래>를 자신의 범행에 끌어다 쓰지만, 사건이 진행될수록 점차 노래의 내용에 맞춰 범행을 실행하는 강박증에 사로잡힌다. 그러면서 오히려 그 노래의 힘을 이기지 못하고 파멸의 길을 걷게 된다. 작가는 자신의 예술적이고도 현학적인 취향을 드러내며, 합리적으로는 설명할 수 없는 인간의 기이한 욕망을 심오하게 보여준다.                    


","9,720",8.2,공포/스릴러
15,여름의 마지막 장미,"
온다 리쿠 저/김난주 역
        ","



참을 수 없이 격정적이고 믿을 수 없이 아름다운,온다 리쿠의 판타스틱 미스터리미스터리, 판타지, SF, 호러, 청춘 소설 등 다양한 장르를 넘나들고 혼합하며 무한한 상상력을 펼쳐 보이는 작가 온다 리쿠가 환상적인 미스러리 작품을 선보인다. 온다 리쿠 식 본격 미스터리물인 『여름의 마지막 장미』는 《별책 문예춘추》에 지난 2003년 5월부터 2004년 3월까지 총 6회에 걸쳐 연재된 장편소설로, 온다 리쿠에게는 스물여섯 번째 작품에 해당한다. 작가는 매우 드라마틱하며 광기 어린, 그러면서도 고딕풍의 섬찟한 아름다움이 가득한 문체로 격정적이고 아름다운 그만의 미스터리 소설을 써 내려간다.국립공원의 산 정상에 있는 고풍스럽고 호화로운 호텔에서는 매년 늦가을 재벌가 사와타리 그룹의 세 자매가 주최하는 파티가 열린다. 올해도 수십 명의 손님이 초대받아 모여든 가운데, 어두운 비밀로 서로 복잡하게 얽혀있는 세 자매의 친척과 관계자들도 이곳을 찾는다. 만찬 석상에서 주빈인 세 자매는 자신들이 어린 시절에 겪었던 어떤 사건에 관해 청중들에게 이야기를 들려주는데, 허구인지 사실인지 분간이 안 가는 그 이야기의 끔찍함과 잔인함에 사람들은 경악하고 만다. 무언지 모를 불길한 기운이 호텔을 뒤덮은 가운데, 어느 날 아침 중앙 계단의 층계참에 놓인 거대한 괘종시계가 넘어져 세 자매 중 둘째인 니카코가 깔려 숨지는 사건이 일어나는데……. 이 작품은 끝까지 이야기를 완결되지 않는 구조로 열어 놓는 개방적인 형식을 취하고 있다. 또한 각 장마다 화자가 바뀌기 때문에 등장인물 모두가 한 번씩은 제3자의 묘사를 거치게 되면서 보다 객관적인 정보가 가감없이 전달된다. 작품 속에는 이렇듯 온다 리쿠만의 독특한 미스터리 작법의 요소가 곳곳에 엿보인다. 『여름의 마지막 장미』를 통해 비일상적인 공간과 비일상적인 시간이 교차하며, 상상을 초월하는 사건들 속으로 독자들을 숨 가쁘게 몰고 가는 판타스틱 미스터리를 만나게 될 것이다.                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","13,320",8.5,공포/스릴러
16,사라진 내일,"
리 차일드 저/박슬라 역
        ","



나는 지금 자살폭탄 테러리스트를 보고 있다리 차일드의 〈잭 리처 시리즈〉 시리즈1997년 첫 발표 이후 전 세계 40여 개국에서 2천만 이상의 독자층을 형성해온 〈잭 리처 시리즈〉의 열세 번째 작품. 우연히 테러리스트들의 광풍에 휘말린 한 여성과 그 여성과 우연히 조우한 잭 리처의 활약상을 그린 『사라진 내일』은 손에 잡힐 듯 그려지는 거친 액션과 숨 막히는 전개가 돋보인다. 빠른 호흡으로 넘어가는 페이지와 페이지, 장(章)과 장 사이로 자살폭탄 테러리스트, 군 출신 인기 정치인, 정부 요원 및 비밀 테러조직과 끊임없이 대치하는 잭 리처의 활약상이 흥미진진하게 펼쳐진다.자살폭탄 테레범들은 자신도 모르게 온갖 종류의 신호를 발산하기 마련이다. 새벽 2시 뉴욕 지하철에서 잭 리처는 그 신호를 포착해내야만 한다. 군 출신 유명 정치인의 수많은 훈장 속에 숨은 테러 집단과의 경악할 만한 비밀, 수수께끼에 싸인 우크라이나 출신의 미녀와 잭 리처의 만남. 이 모든 것들의 종착지에는 과연 어떠한 내일이 기다리고 있을까?                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","13,320",9.4,1-2학년 그림/동화책
17,오즈의 마법사 3 오즈의 오즈마 공주,"
L. 프랭크 바움 저/최인자 역
        ","



[환상의 나라 오즈]를 읽은 어린이들의 그 다음 얘기를 궁금해 하는 문의가 답지하자 작가는 그런 어린이들에게 다시 얘기를 들려주기로 한다. 도로시에 대한 얘기도 더 많이 나와 있을 뿐만, 도로시가 다시 오즈의 나라를 여행하며 오즈마를 만나는 얘기도 나온다. 전편의 친숙한 친구들인 허수아비와 양철 나무꾼, 겁쟁이 사자와 오즈마와 다른 새로운 가족들도 등장한다.                    


","9,450",8.5,공포/스릴러
18,스트레인 2,"
척 호건 저/조영학 역
        ","



「판의 미로」 「호비트」의 영화감독, 기예르모 델 토로의 첫 소설!뱀파이어 삼부작 제1부 『스트레인』대량학살과 피로 얼룩진 20세기 현대사, 그리고 이제 전염병과 테러의 공포가 창궐한 21세기의 풍경을 담아내고 있는 선 굵은 정통 뱀파이어 소설. 인류 멸망의 위기를 앞두고 국가재난의 상황으로 치닫는 전개는 9·11의 뉴욕을 환기시키며 그날의 풍경을 바로 눈앞에 보는 듯 되살려낸다. 특히, 개체가 아니라 군집으로 사고하고 행동하는 뱀파이어들이 모여드는 서식지는 바로 붕괴된 국제무역센터 현장, 그라운드 제로다.흔적도 없이 사라진 시체들의 행방을 쫓는 미 연방 질병관리센터의 에프. 그의 앞에 맨해튼에서 전당포를 운영하는 세트라키안이라는 노인이 찾아온다. 2차 대전 당시 폴란드의 유대인 수용소 트레블린카에서 뱀파이어와 대면했던 그는 동유럽 민속학교수로, 이제는 뱀파이어의 조력자인 인간 추적자들을 피해 미국으로 건너온 것이다. 그는 자신이 평생 이 순간을 대비해왔으며, ‘고대 종족’ 혹은 ‘마스터’라 불리는 최초의 일곱 뱀파이어 간의 균형이 깨어져 곧 뱀파이어 간의 거대한 전쟁이 벌어질 것이고, 뉴욕의 감염은 이것의 전초전에 불과하다는 사실을 에프에게 알려준다. 기하급수적으로 불어나는 뱀파이어들의 습격으로 이제 뉴욕은 ‘살아난 시체들의 밤’이 되고, 에프와 세트라키안을 필두로 한 사람들은 이 모든 재앙을 불러온 일곱번째 마스터를 상대로 인간 문명을 지키기 위한 전투를 벌이기 시작하는데...                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","9,000",8.6,공포/스릴러
19,스트레인 1,"
척 호건 저/조영학 역
        ","



「판의 미로」 「호비트」의 영화감독, 기예르모 델 토로의 첫 소설!뱀파이어 삼부작 제1부 『스트레인』대량학살과 피로 얼룩진 20세기 현대사, 그리고 이제 전염병과 테러의 공포가 창궐한 21세기의 풍경을 담아내고 있는 선 굵은 정통 뱀파이어 소설. 인류 멸망의 위기를 앞두고 국가재난의 상황으로 치닫는 전개는 9·11의 뉴욕을 환기시키며 그날의 풍경을 바로 눈앞에 보는 듯 되살려낸다. 특히, 개체가 아니라 군집으로 사고하고 행동하는 뱀파이어들이 모여드는 서식지는 바로 붕괴된 국제무역센터 현장, 그라운드 제로다.흔적도 없이 사라진 시체들의 행방을 쫓는 미 연방 질병관리센터의 에프. 그의 앞에 맨해튼에서 전당포를 운영하는 세트라키안이라는 노인이 찾아온다. 2차 대전 당시 폴란드의 유대인 수용소 트레블린카에서 뱀파이어와 대면했던 그는 동유럽 민속학교수로, 이제는 뱀파이어의 조력자인 인간 추적자들을 피해 미국으로 건너온 것이다. 그는 자신이 평생 이 순간을 대비해왔으며, ‘고대 종족’ 혹은 ‘마스터’라 불리는 최초의 일곱 뱀파이어 간의 균형이 깨어져 곧 뱀파이어 간의 거대한 전쟁이 벌어질 것이고, 뉴욕의 감염은 이것의 전초전에 불과하다는 사실을 에프에게 알려준다. 기하급수적으로 불어나는 뱀파이어들의 습격으로 이제 뉴욕은 ‘살아난 시체들의 밤’이 되고, 에프와 세트라키안을 필두로 한 사람들은 이 모든 재앙을 불러온 일곱번째 마스터를 상대로 인간 문명을 지키기 위한 전투를 벌이기 시작하는데...                    




 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기


","9,000",7.7,판타지
20,"저주받은 자, 딜비쉬","
로저 젤라즈니 저/김상훈 역
        ","



11편의 단편으로 이루어진 이 책은 우연한 불운의 일치로 어둠의 대마법사 젤레락의 노여움을 샀고, 그 결과 몸은 돌로 바뀌고 영혼은 지옥으로 추방당한 전설의 기사이다. 그러나 딜비쉬는 2세기 후 ‘블랙’이라는 이름의 악마에게 영혼의 일부를 파는 대가로 현세로 돌아왔고, 복수의 일념에 불타 원수인 젤레락을 찾기 시작한다.이 책은 딜비쉬와 블랙이 젤레락을 찾아 환상세계를 방랑하며 마법사, 괴물, 늑대인간, 정령, 고대의 잊혀간 신들과 조우하며 때로는 사투를 벌이고, 때로는 인간적인 교류를 하는 모험담을 그리고 있다.                    


","9,000",7.0,추리/미스터리
21,장례식을 마치고,"
애거사 크리스티 저
        ","



애거서 크리스티의 57번째 추리소설이자 44번째 장편소설이며, 명탐정 포와르가 등장한다. 대부호 애버니시의 장례식을 마치고 돌아온 날, 친척들 사이에서 ‘애버니시는 독살되었을지도 모른다!’는 소문이 감돈다. 친척들은 서로를 의심하게 되고, 애버니시의 독살을 최초로 언급한 코라는 장례식 다음 날 살해당하고 만다. 의심은 공포로 바뀌고 누구도 믿을 수 없는 상황. 극한에 처한 인간, 특히 공포앞에서 인간의 마음이 얼마나 나약할 수밖에 없는지를 보여주고 있다.                    


","9,000",9.0,추리/미스터리
22,그리스 관의 비밀,"
엘러리 퀸 저
        ","



'엘러리 퀸'이라는 필명은 '프레드릭 대니'와 '맨프리드 리'라는 두 작가지망생의 공동필명이다. 이들 '엘러리 퀸들(^^)' 은 1928년 <맥루어>라는 잡지사에서 공모한 신인 미스테리소설 공모전에 입상하면서 문단에 첫 발을 내딛는다. 처음부터 저속한 스릴러적인 요소를 배격하고, 윤리성을 문제로 다룬 지성적인 작품으로 고급독자들의 흥미를 끌자고 의도했던 이들은 당시 인기절정에 있던 반 다인을 경쟁상대로 택하고 부지런히 작품을 발표했다. 실제로 1932년『그리스 관의 비밀』『X의 비극』등을 발표했을 때 모름지기 두 젊은이의 야심은 무난히 달성되었다.  엘러리 퀸의 생애 중 가장 재능 넘치고 필력이 왕성하던 시기에 쓰여진 이 작품은, 엄정하고 추리기계적인 탐정의 모습에서 범인에 대한 인간적인 동정 사이를 오르내리며 고뇌하는 청년 퀸의 모습을 만날 수 있다. 논리조작이 아무리 주도면밀하게 행해진다 해도 근본이 되는 데이터에 실수가 있다면 추리는 잘못된 방향으로 흘러가는 법. 작가는 사건 해결에 필요한 갖가지 정보를 보란듯이 구석구석 흩뿌려 놓으면서 젊은 탐정을 사건 해결에 돌입하게 하는데, 독자들 또한 같은 마음으로 시행착오를 겪으며 범인 추리에 동참하게 된다.                    


","8,820",7.1,추리/미스터리
